Email_MD5,Purchase_Date,EmailMD5,Delivered_Date,Creative
41fb6a55d71ef900c40e607aa0b4f2a8,7/5/2021,41fb6a55d71ef900c40e607aa0b4f2a8,7/2/2021,Creative2
7d299c0923b666aa47e985a1ed9a7316,7/7/2021,7d299c0923b666aa47e985a1ed9a7316,7/5/2021,Creative1
5ccfa2b0122a3ff439a2b0ed4b493926,7/6/2021,5ccfa2b0122a3ff439a2b0ed4b493926,7/5/2021,Creative2
162ad5d4c449fe39a232e17b017b9a4e,7/7/2021,162ad5d4c449fe39a232e17b017b9a4e,7/6/2021,Creative3
f24f32f322c9fcd1761329e4568cdbfe,7/9/2021,f24f32f322c9fcd1761329e4568cdbfe,7/7/2021,Creative3
fc99edffa74cf5732ffd9270d9e9abb5,7/4/2021,fc99edffa74cf5732ffd9270d9e9abb5,7/3/2021,Creative2
4c1e523390e5629e8d74858fa04e8ee2,7/2/2021,4c1e523390e5629e8d74858fa04e8ee2,7/2/2021,Creative3
1cc791d6a9b607f1b33289a9aacc72ac,7/3/2021,1cc791d6a9b607f1b33289a9aacc72ac,7/3/2021,Creative2
286e8a6d3d9849f6ed653a036d9e8bf8,7/8/2021,286e8a6d3d9849f6ed653a036d9e8bf8,7/5/2021,Creative2
f5478234dd1b64de78cf0a8aedf6da0e,7/4/2021,f5478234dd1b64de78cf0a8aedf6da0e,7/2/2021,Creative1
925a6678ce6c99f71e2e1c47a9803ce7,7/5/2021,925a6678ce6c99f71e2e1c47a9803ce7,7/4/2021,Creative1
d987e068fcef5fee575534bc01beb0cd,7/6/2021,d987e068fcef5fee575534bc01beb0cd,7/5/2021,Creative2
fa06502b4b667f6f97228d640823b690,7/3/2021,fa06502b4b667f6f97228d640823b690,7/2/2021,Creative1
f86383016096d46af0bfb910081f1393,7/5/2021,f86383016096d46af0bfb910081f1393,7/2/2021,Creative1
f86383016096d46af0bfb910081f1393,7/3/2021,f86383016096d46af0bfb910081f1393,7/2/2021,Creative1
74e1c696f67ce406f38105464d638d3f,7/5/2021,74e1c696f67ce406f38105464d638d3f,7/5/2021,Creative1
